time,volume,price,change
1514655144,0.0,12954.25736175,0.0
1514655145,0.0,12954.25736175,0.0
1514655146,0.2,12954.25,-5.7e-07
1514655147,0.0,12954.25,0.0
1514655148,0.0,12954.25,0.0
1514655149,0.0,12954.25,0.0
1514655150,0.2,12954.25,0.0
1514655151,0.0,12954.25,0.0
1514655152,0.10164286,12954.26,7.7e-07
1514655153,0.01848052,12954.26,0.0
1514655154,0.26798682,12954.26,-0.0
1514655155,0.2,12954.25,-7.7e-07
1514655156,0.0,12954.25,0.0
1514655157,0.0,12954.25,0.0
1514655158,0.2,12954.25,0.0
1514655159,0.0,12954.25,0.0
1514655160,0.2,12954.25,0.0
1514655161,0.11821586,12954.25,-0.0
1514655162,0.0,12954.25,0.0
1514655163,0.2,12954.25,0.0
1514655164,0.0,12954.25,0.0
1514655165,0.0,12954.25,0.0
1514655166,4.4635,12954.26,7.7e-07
1514655167,0.0,12954.26,0.0
1514655168,0.21,12954.25,-7.7e-07
1514655169,0.0,12954.25,0.0
1514655170,0.0,12954.25,0.0
1514655171,0.0,12954.25,0.0
1514655172,0.200776,12954.25,0.0
1514655173,0.00027043,12954.25,-0.0
1514655174,0.0,12954.25,0.0
1514655175,0.0,12954.25,0.0
1514655176,0.0,12954.25,0.0
1514655177,0.0,12954.25,0.0
1514655178,0.2,12954.25,0.0
1514655179,0.0,12954.25,0.0
1514655180,0.0,12954.25,0.0
1514655181,0.2,12954.25,0.0
1514655182,0.0,12954.25,0.0
1514655183,0.20077002,12954.25003835,0.0
1514655184,0.0,12954.25003835,0.0
1514655185,0.0,12954.25003835,0.0
1514655186,0.07700217,12954.26,7.7e-07
1514655187,0.0,12954.26,0.0
1514655188,0.2,12954.25,-7.7e-07
1514655189,0.0,12954.25,0.0
1514655190,3.1659,12954.26,7.7e-07
1514655191,1.20102666,12954.27611843,1.24e-06
1514655192,0.082,12954.87810976,4.647e-05
1514655193,0.0,12954.87810976,0.0
1514655194,0.24812636,12954.25193959,-4.833e-05
1514655195,0.0,12954.25193959,0.0
1514655196,1.54069795,12954.25795705,4.6e-07
1514655197,0.2,12954.25,-6.1e-07
1514655198,0.07700217,12954.26,7.7e-07
1514655199,0.0,12954.26,0.0
1514655200,0.01075489,12954.26,0.0
1514655201,0.2,12954.25,-7.7e-07
1514655202,0.0,12954.25,0.0
1514655203,0.02682909,12954.26,7.7e-07
1514655204,1.40546912,12954.25758088,-1.9e-07
1514655205,0.051,12954.25,-5.9e-07
1514655206,7.7e-05,12954.26,7.7e-07
1514655207,0.0,12954.26,0.0
1514655208,0.66135161,12954.25697589,-2.3e-07
1514655209,0.0,12954.25697589,0.0
1514655210,0.0,12954.25697589,0.0
1514655211,0.0,12954.25697589,0.0
1514655212,3.73974202,12957.19873988,0.00022709
1514655213,0.3544118,12959.99435685,0.00021576
1514655214,0.0,12959.99435685,0.0
1514655215,0.0,12959.99435685,0.0
1514655216,0.0,12959.99435685,0.0
1514655217,0.0,12959.99435685,0.0
1514655218,0.0,12959.99435685,0.0
1514655219,0.35316646,12959.99433695,-0.0
1514655220,0.0,12959.99433695,0.0
1514655221,0.2,12959.99,-3.3e-07
