time,volume,price,change
1515440263,0.0,15080.28,0.0
1515440264,0.13163133,15080.28,0.0
1515440265,0.0,15080.28,0.0
1515440266,0.03022916,15080.28,0.0
1515440267,0.17394864,15080.27172465,-5.5e-07
1515440268,0.00066146,15080.28,5.5e-07
1515440269,0.0,15080.28,0.0
1515440270,0.0,15080.28,0.0
1515440271,0.0,15080.28,0.0
1515440272,0.0,15080.28,0.0
1515440273,0.0,15080.28,0.0
1515440274,0.04,15080.28,0.0
1515440275,0.0,15080.28,0.0
1515440276,0.0,15080.28,0.0
1515440277,0.0,15080.28,0.0
1515440278,0.0,15080.28,0.0
1515440279,0.0,15080.28,0.0
1515440280,0.0,15080.28,0.0
1515440281,0.0,15080.28,0.0
1515440282,0.0,15080.28,0.0
1515440283,0.5797,15080.28,-0.0
1515440284,0.0,15080.28,0.0
1515440285,0.0,15080.28,0.0
1515440286,0.01,15080.28,0.0
1515440287,0.0,15080.28,0.0
1515440288,0.0,15080.28,0.0
1515440289,0.0,15080.28,0.0
1515440290,0.0,15080.28,0.0
1515440291,0.0,15080.28,0.0
1515440292,0.01256781,15080.28,-0.0
1515440293,0.02,15080.28,0.0
1515440294,0.0,15080.28,0.0
1515440295,0.0,15080.28,0.0
1515440296,0.0,15080.28,0.0
1515440297,0.0,15080.28,0.0
1515440298,0.03,15080.27,-6.6e-07
1515440299,0.0,15080.27,0.0
1515440300,0.0,15080.27,0.0
1515440301,0.0,15080.27,0.0
1515440302,0.0,15080.27,0.0
1515440303,0.0,15080.27,0.0
1515440304,0.0,15080.27,0.0
1515440305,0.2246354,15080.28,6.6e-07
1515440306,0.0,15080.28,0.0
1515440307,0.01,15080.28,0.0
1515440308,0.0,15080.28,0.0
1515440309,1.0330732,15080.28,-0.0
1515440310,0.0,15080.28,0.0
1515440311,0.06429,15080.28,0.0
1515440312,0.0,15080.28,0.0
1515440313,0.0,15080.28,0.0
1515440314,0.0,15080.28,0.0
1515440315,0.0,15080.28,0.0
1515440316,0.0,15080.28,0.0
1515440317,0.000665,15080.27,-6.6e-07
1515440318,0.0,15080.27,0.0
1515440319,0.0,15080.27,0.0
1515440320,0.0,15080.27,0.0
1515440321,0.0,15080.27,0.0
1515440322,0.03589985,15080.28,6.6e-07
1515440323,0.0,15080.28,0.0
1515440324,0.0,15080.28,0.0
1515440325,0.0,15080.28,0.0
1515440326,0.0,15080.28,0.0
1515440327,0.81153339,15080.28,0.0
1515440328,0.0661464,15080.28,0.0
1515440329,0.0,15080.28,0.0
1515440330,0.0,15080.28,0.0
1515440331,0.0,15080.28,0.0
1515440332,0.0,15080.28,0.0
1515440333,0.33069192,15082.10755532,0.00012119
1515440334,0.0,15082.10755532,0.0
1515440335,0.0,15082.10755532,0.0
1515440336,0.0,15082.10755532,0.0
1515440337,0.0,15082.10755532,0.0
1515440338,0.0,15082.10755532,0.0
1515440339,0.0,15082.10755532,0.0
1515440340,0.0,15082.10755532,0.0
1515440341,0.55615022,15085.0,0.00019178
1515440342,0.0,15085.0,0.0
1515440343,0.0,15085.0,0.0
1515440344,0.0,15085.0,0.0
1515440345,0.0,15085.0,0.0
1515440346,0.0,15085.0,0.0
1515440347,2.2585,15091.54343877,0.00043377
1515440348,0.0,15091.54343877,0.0
1515440349,2.6886816,15098.99,0.00049343
1515440350,0.12606439,15099.0,6.6e-07
1515440351,0.0,15099.0,0.0
1515440352,0.08,15099.0,-0.0
1515440353,0.0,15099.0,0.0
1515440354,0.0497909,15098.9960252,-2.6e-07
1515440355,0.0,15098.9960252,0.0
1515440356,0.0,15098.9960252,0.0
1515440357,0.0,15098.9960252,0.0
1515440358,0.0,15098.9960252,0.0
1515440359,0.17110677,15099.0,2.6e-07
1515440360,0.0,15099.0,0.0
1515440361,0.0,15099.0,0.0
1515440362,0.0,15099.0,0.0
1515440363,0.0,15099.0,0.0
1515440364,0.4944,15099.0,-0.0
1515440365,0.0,15099.0,0.0
1515440366,0.0,15099.0,0.0
1515440367,0.0,15099.0,0.0
1515440368,0.08,15099.0,0.0
1515440369,0.0,15099.0,0.0
1515440370,1.14760452,15099.0,0.0
1515440371,0.0,15099.0,0.0
1515440372,0.0,15099.0,0.0
1515440373,0.0,15099.0,0.0
1515440374,0.0,15099.0,0.0
1515440375,0.0,15099.0,0.0
1515440376,0.01,15099.0,0.0
1515440377,0.0,15099.0,0.0
1515440378,0.0,15099.0,0.0
1515440379,0.0,15099.0,0.0
1515440380,2.51674475,15096.63785989,-0.00015644
1515440381,0.133,15090.0,-0.00043969
1515440382,0.6465,15080.30559165,-0.00064244
1515440383,0.0,15080.30559165,0.0
1515440384,0.29585015,15080.27,-2.36e-06
1515440385,0.06,15080.28,6.6e-07
1515440386,0.6947482,15080.27952395,-3e-08
1515440387,0.06,15080.28,3e-08
1515440388,0.0,15080.28,0.0
1515440389,0.0,15080.28,0.0
1515440390,0.0,15080.28,0.0
1515440391,0.0,15080.28,0.0
1515440392,0.863,15080.27,-6.6e-07
1515440393,0.0,15080.27,0.0
1515440394,0.0,15080.27,0.0
1515440395,0.01,15080.28,6.6e-07
1515440396,0.0,15080.28,0.0
1515440397,0.01,15080.28,0.0
1515440398,0.0,15080.28,0.0
1515440399,0.0,15080.28,0.0
1515440400,0.06429,15080.28,-0.0
1515440401,0.0,15080.28,0.0
1515440402,1.3283,15080.27,-6.6e-07
1515440403,1.483482,15080.27,0.0
1515440404,0.51022219,15080.27,0.0
1515440405,0.09921973,15080.26,-6.6e-07
1515440406,0.02645859,15080.26,-0.0
1515440407,0.0209,15080.26,-0.0
1515440408,0.0,15080.26,0.0
1515440409,0.0,15080.26,0.0
1515440410,0.0,15080.26,0.0
1515440411,0.0,15080.26,0.0
1515440412,0.0,15080.26,0.0
1515440413,0.03290787,15080.26,0.0
1515440414,0.0,15080.26,0.0
1515440415,0.0191,15080.26,0.0
1515440416,1.2584545,15080.05125343,-1.384e-05
1515440417,0.09922795,15079.01,-6.905e-05
1515440418,1.2781,15068.4097084,-0.00070298
1515440419,0.19802762,15061.25,-0.00047515
1515440420,0.0,15061.25,0.0
1515440421,0.20009238,15079.01,0.00117918
1515440422,0.0,15079.01,0.0
1515440423,0.0,15079.01,0.0
1515440424,0.0,15079.01,0.0
1515440425,0.0,15079.01,0.0
1515440426,0.0,15079.01,0.0
